record_id,existing_study_id,pmid,title,authors,year,journal,document_type,book_title,publisher,doi,pmcid,abstract,publication_types,source_url,raw_xml,in_core,in_supplement,status,sampling_reason,reviewer_1,reviewer_1_decision,reviewer_2,reviewer_2_decision,adjudication,reason,decision_date
R-33273290,L-G05,33273290,Evaluation of an Osteoporosis Outreach Program for Men With a Fragility Fracture and Their Physicians.,Pasquale MK; Sheer RL; Yehoshua A; McFadden A; Chines A; Caloyeras J,2021,Medical care,journal_article,,,10.1097/MLR.0000000000001459,PMC7899217,"BACKGROUND: Many health plans have outreach programs aimed at appropriately screening, evaluating, and treating women experiencing fragility fractures; however, few programs exist for men.
OBJECTIVE: The objective of this study was to develop, implement, and evaluate an osteoporosis outreach program for men with a recent fragility fracture and their physicians.
RESEARCH DESIGN AND SUBJECTS: A total of 10,934 male patients enrolled in a Medicare Advantage with Prescription Drug Plan with a recent fragility fracture were randomized to a program or control group. Patients and their physicians received letters followed by phone calls on osteoporosis and the importance of screening and treatment. The evaluation compared bone mineral density (BMD) test utilization and osteoporosis medication treatment (OPT) among patients who received the outreach versus no outreach at 12 months. The effect of the program was estimated through univariate and multivariable logistic regressions.
RESULTS: The program had a significant impact on BMD evaluation and OPT initiation. At 12 months, 10.7% of participants and 4.9% of nonparticipants received a BMD evaluation. The odds ratio (OR) (95% confidence interval) was 2.31 (1.94, 2.76), and the number needed to outreach to receive a BMD test was 18. OPT was initiated in 4.0% of participants and 2.5% of nonparticipants. The OR (95% confidence interval) of receiving OPT was 1.60 (1.24, 2.07), and the number needed to outreach was 69. Adjusted ORs were similar in magnitude and significance.
CONCLUSION: The program was highly effective by more than doubling the rate of BMD evaluation; however, more intensive interventions may yield an even higher screening rate.","Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",https://pubmed.ncbi.nlm.nih.gov/33273290/,research/review_2026-09-21/pubmed/raw/priority_metadata_003800.xml,True,False,Awaiting independent human title/abstract screening,Known source for calibration; not automatically included,,,,,,,
R-34736273,L-P03,34736273,Reimbursement for Female-Specific Compared With Male-Specific Procedures Over Time.,Polan RM; Barber EL,2021,Obstetrics and gynecology,journal_article,,,10.1097/AOG.0000000000004599,PMC8602770,"OBJECTIVE: To evaluate whether per-procedure work relative value units (RVUs) have changed over time and to compare time-based compensation for female-specific procedures compared with male-specific procedures.
METHODS: Using the National Surgical Quality Improvement Program files for 2015-2018, we compared operative time and RVUs for 12 pairs of sex-specific procedures. Procedures were matched to be anatomically and technically similar. Procedure-assigned RVUs in 2015 were compared with 1997. Procedure compensation was determined using median dollars per RVU provided in SullivanCotter's 2018 Physician Compensation and Productivity Survey. This was compared with specialty-specific McGraw-Hill per-RVU data from 1994. Statistical analysis was performed with chi-square and Kruskal-Wallis tests.
RESULTS: A total of 12,120 patients underwent 6,217 male-specific procedures and 5,903 female-specific procedures. Male-specific procedures had a median (interquartile range) RVU of 25.2 (21.4-25.2), compared with 7.5 (7.5-23.4) for female-specific procedures (P<.001). Male-specific procedures were 79 minutes longer (median [interquartile range] 136 minutes [98-186] vs 57 minutes [25-125], P<.001). Female-specific procedures were reimbursed at a higher hourly rate (10.6 RVU/hour [7.2-16.2] vs 9.7 RVU/hour [7.4-12.8], P<.001). However, male-specific procedures were better reimbursed ($599/h [$457-790] vs $555/h [$377-843], P<.001). Overall, per-procedure RVUs for male-specific surgeries have increased 13%, whereas, for female-specific surgeries, per-procedure RVUs have increased 26%. Reimbursement per RVU for male-specific procedures has decreased 8% ($67.30 to $61.65), whereas for female-specific procedures it has increased 14% ($44.50 to $52.02).
CONCLUSION: Increases in RVUs and specialty-specific compensation have resulted in more equitable reimbursement for female-specific procedures. However, even with these changes, there is a lower relative value of work, driven by specialty-specific compensation rates, for procedures performed for women-only compared with equivalent men-only procedures.","Comparative Study; Evaluation Study; Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",https://pubmed.ncbi.nlm.nih.gov/34736273/,research/review_2026-09-21/pubmed/raw/priority_metadata_004200.xml,False,True,Awaiting independent human title/abstract screening,Known source for calibration; not automatically included,,,,,,,
R-38758183,L-P02,38758183,Comparison of Work Relative Value Units Assigned to Urological and Gynecological Surgical Procedures.,Hathaway JK; Schuster MS; Richards KA; Turk TMT,2024,Urology practice,journal_article,,,10.1097/UPJ.0000000000000612,,"INTRODUCTION: We sought to determine if work relative value unit differences exist between analogous, sex-specific procedures.
METHODS: Representatives from the AUA and the American College of Obstetricians and Gynecologists independently reviewed the entire procedural code set and identified sex-specific procedures that had an analogous procedure in the opposite sex. These pairs were then evaluated and compared using current American Medical Association Relative Value Scale Update Committee methodology. Comparable code pair values were then examined to determine any systemic bias in the work relative value units assigned between the procedures. Mean differences and 95% confidence intervals were used to determine any differences in procedure or physician time values. The methodology used considered global period, intraservice time, total time, hospital days, postoperative office visits, and the date of the committee review.
RESULTS: Of the 10 directly analogous code pairs reviewed, 7 of the female procedures had higher work relative value unit differences (range 0.29-6.47), and 3 of the male procedures had higher work relative value unit differences (range 1.23-2.34). There was no statistical difference between the code pair work relative value units. The work relative value unit per minute of intraservice time and total time were not statistically different.
CONCLUSIONS: In this study, we compared operative procedures performed in women with clinically comparable operative procedures performed in men that had similar surgical approaches, global periods, and valuation methodologies. Overall, no statistical differences in work relative value units were demonstrated.",Journal Article; Comparative Study,https://pubmed.ncbi.nlm.nih.gov/38758183/,research/review_2026-09-21/pubmed/raw/priority_metadata_005400.xml,True,True,Awaiting independent human title/abstract screening,Known source for calibration; not automatically included,,,,,,,
R-39046733,L-C03,39046733,Gender-Based Variations in Medicare Reimbursements Among Different Surgical Subspecialties.,Munir MM; Dillhoff M; Tsai S; Collins C; Dedhia P; Pawlik TM,2024,JAMA surgery,journal_article,,,10.1001/jamasurg.2024.2298,PMC11270248,"IMPORTANCE: Gender inequities and limited representation are an obstacle to surgical workforce diversification. There has been limited examination of gender-based disparities in billing practices among surgeons.
OBJECTIVE: To evaluate variations in practice metrics and billing practices among female and male surgeons and identify factors associated with gender disparities in Medicare reimbursements.
DESIGN, SETTING, AND PARTICIPANTS: This retrospective cross-sectional study used publicly available Medicare Fee-for-Service Provider Utilization and Payment data from January to December 31, 2021, to identify demographics, annual services provided, and financial payments and charges for general surgeons, surgical oncologists, and colorectal surgeons. Data were analyzed from November 2023 to February 2024.
EXPOSURE: The primary exposure of interest was surgeon gender (ie, female or male).
MAIN OUTCOMES AND MEASURES: The annual total submitted charges and payments submitted in 2021 by female and male surgeons were assessed. Additionally, the total number and types of services provided each year and the number of beneficiaries treated were examined. Multivariable linear regression models were used to evaluate the association of surgeon gender with payments, number of services, and beneficiaries.
RESULTS: A total of 20 549 general surgeons (5036 [24.5%] female; 15 513 [75.5%] male), 1065 surgical oncologists (450 [42.3%] female; 615 [57.7%] male), and 1601 colorectal surgeons (432 [27.0%] female; 1169 [73.0%] male) were included. Across all surgical subspecialties, female surgeons billed fewer mean (SE) Medicare charges (general surgeons: 30.1% difference; $224 934.80 [$3846.97] vs $321 868.50 [$3933.57]; surgical oncologists: 27.5% difference; $277 901.70 [$22 857.37] vs $382 882.90 [$19 566.06]; colorectal surgeons: 21.7% difference; $274 091.70 [$10 468.48] vs $350 146.10 [$8741.66]; all P < .001) and received significantly lower mean (SE) reimbursements (general surgeons: 29.0% difference; $51 787.61 [$917.91] vs $72 903.12 [$890.35]; surgical oncologists: 23.6% difference; $57 945.18 [$3853.28] vs $75 778.22 [$2622.75]; colorectal surgeons: 24.5% difference; $63 117.01 [$2248.10] vs $83 598.53 [$1934.77]; all P < .001). On multivariable analysis, a reimbursement gap remained across all 3 surgical subspecialties (general surgeons: -$14 963.46 [95% CI, -$18 822.27 to -$11 104.64] [P < .001]; surgical oncologists: -$8354.69 [95% CI, -$15 018.12 to -$1691.25] [P = .01]; colorectal surgeons: -$4346.73 [95% CI, -$7660.15 to -$1033.32] [P = .01]).
CONCLUSIONS AND RELEVANCE: In this cross-sectional study, there was considerable gender-based variation in practice patterns and reimbursement among different surgical subspecialties serving the Medicare population. Differences in mean payment per service were associated with variations in billing and coding strategies among female and male surgeons.",Journal Article,https://pubmed.ncbi.nlm.nih.gov/39046733/,research/review_2026-09-21/pubmed/raw/priority_metadata_005600.xml,True,True,Awaiting independent human title/abstract screening,Known source for calibration; not automatically included,,,,,,,
R-39978776,L-P01,39978776,Price and Prejudice: Reimbursement of Surgical Care on Male Versus Female Anatomies.,Penn M; Colley D; Koirala P; King L; Fitzgerald J,2025,Journal of women's health (2002),journal_article,,,10.1089/jwh.2024.0984,,"Background: Gender bias is a pervasive issue in health care, contributing to poorer health outcomes for women compared with men. In the United States, studies have shown a slowly improving, but persistent, disparity exists for gender-specific procedures' relative value units (RVUs). This study aims to build on existing literature and conduct a large-scale analysis examining comparable gender-specific surgical procedures to determine whether there remains a disparity in RVUs/reimbursements for care provided to female patients. Methods: Using 110 CPT codes, we compared work RVU and reimbursement rates for facility and nonfacility procedures within the 2023 dataset for anatomically similar gender-specific procedures, verified by a group of gynecologists and urologists. We analyzed the procedures over a 20-year period with RVUs from 2003 to 2023 to determine how the difference between the gender-specific procedures was changing over time. We also used the same design and 22 current procedural terminology (CPT) codes as Goff (1997) and Benoit (2015) to compare RVUs between 1997, 2015, and 2023. Results: For the 55 gender-specific procedures, 41 (75%) had lower RVUs for procedures on female patients in 2023. RVUs for procedures on male patients were 30% higher on average. For facility reimbursement, 35 (64%) were higher for procedures on male patients-with a 25.6% higher reimbursement on average, correlating to an average reimbursement of $75.73 more for male procedures. For nonfacility reimbursements, male procedures were reimbursed 20% higher on average. Between 2003 and 2023, there were no statistically significant improvements in the reimbursement disparities for male versus female procedures, with male procedures consistently having an average RVU 31-34% higher. The disparity narrowed minimally between 1997, 2015, and 2023. Conclusion: There remain significant disparities between gender-specific procedures, with lower RVUs/reimbursements for procedures on female patients and minimal change over the past three decades. Addressing these disparities is crucial for achieving gender equity in health care and ensuring equally valued medical services.",Journal Article,https://pubmed.ncbi.nlm.nih.gov/39978776/,research/review_2026-09-21/pubmed/raw/priority_metadata_005800.xml,False,True,Awaiting independent human title/abstract screening,Known source for calibration; not automatically included,,,,,,,
R-40560583,L-G09,40560583,Coverage Gaps and Contraceptive Use Among Medicare Enrollees With Disabilities.,Bellerose M; Ellison J; Steenland MW; Meyers DJ; Mitra M; Shireman TI,2025,JAMA network open,journal_article,,,10.1001/jamanetworkopen.2025.17718,PMC12199052,"IMPORTANCE: Medicare is the primary health insurance payer for 1.5 million reproductive-aged women with disabilities, yet it is the only major form of US health insurance that is not required to cover contraceptives for pregnancy prevention.
OBJECTIVE: To evaluate whether Medicare's contraceptive coverage gaps were associated with reduced use of contraceptives by enrollees with disabilities.
DESIGN, SETTING, AND PARTICIPANTS: In this national, cross-sectional study, traditional Medicare (TM), Medicare Advantage (MA), and Medicaid claims from female enrollees aged 20 to 49 years receiving Social Security Disability Insurance or Supplemental Security Income from January 1, 2016, to December 31, 2020, were linked. The propensity score-weighted probability of contraceptive use by public insurance type was estimated, then the association between gaining contraceptive coverage through a transition from Medicare to dual Medicare-Medicaid enrollment and contraceptive use was evaluated using a staggered-entry difference-in-differences design. Data were analyzed from December 3, 2024, to April 5, 2025.
EXPOSURES: Public insurance enrollment in TM, MA, dual TM-Medicaid, dual MA-Medicaid, or Medicaid.
MAIN OUTCOMES AND MEASURES: Monthly use of permanent contraceptives, long-acting reversible contraceptives (intrauterine device and implant), and short-acting contraceptives (injectable and oral contraceptives, patch, and ring).
RESULTS: A total of 51 501 303 monthly observations from 1 606 129 women were included in the analysis. Mean (SD) age was 35.93 (8.58) years; 1.8% of monthly observations were from Asian women, 30.7% from Black women, 13.0% from Hispanic women, 52.6% from White women, and 1.9% from multiracial women or women identifying as another race and ethnicity not reported on previously. Those enrolled in TM and MA were more often older and non-Hispanic White compared with those dual enrolled or enrolled in Medicaid. The estimated monthly probability of use of any contraceptive method was lowest among TM (4.9%; 95% CI, 4.9%-4.9%) and MA (6.6%; 95% CI, 6.5%-6.6%) enrollees, followed by Medicaid (11.0%; 95% CI, 11.0%-11.0%), dual MA-Medicaid (11.3%; 95% CI, 11.3%-11.4%), and dual TM-Medicaid (13.1%; 95% CI, 13.0%-13.1%) enrollees. Gaining contraceptive coverage through dual enrollment was associated with an increase of 3.9 (95% CI, 3.5-4.3) percentage points (35%) in use of any contraceptive method, with the largest increase in use of short-acting methods at 2.6 (95% CI, 2.3-3.0) percentage points (45%).
CONCLUSIONS AND RELEVANCE: In this cross-sectional study of contraceptive use in the Medicare program, gaining contraceptive coverage through dual Medicare-Medicaid enrollment was associated with increased contraceptive use among disabled Medicare enrollees, suggesting that Medicare's coverage gaps pose a financial barrier to desired contraceptive use. Given these findings, Medicare should be required to cover all US Food and Drug Administration-approved contraceptive methods without cost-sharing. Doing so would align Medicare's coverage requirements with those of Medicaid, private insurance plans, and TRICARE.","Journal Article; Research Support, N.I.H., Extramural",https://pubmed.ncbi.nlm.nih.gov/40560583/,research/review_2026-09-21/pubmed/raw/priority_metadata_006000.xml,True,False,Awaiting independent human title/abstract screening,Known source for calibration; not automatically included,,,,,,,
R-24641912,,24641912,"Relative value of race, family history and prostate specific antigen as indications for early initiation of prostate cancer screening.",Vertosick EA; Poon BY; Vickers AJ,2014,The Journal of urology,journal_article,,,10.1016/j.juro.2014.03.032,PMC4143426,"PURPOSE: Many guidelines suggest earlier screening for prostate cancer in men at high risk, with risk defined in terms of race and family history. Recent evidence suggests that baseline prostate specific antigen is strongly predictive of the long-term risk of aggressive prostate cancer. We compared the usefulness of risk stratifying early screening by race, family history and prostate specific antigen at age 45 years.
MATERIALS AND METHODS: Using estimates from the literature we calculated the proportion of men targeted for early screening using family history, black race or prostate specific antigen as the criterion for high risk. We calculated the proportion of prostate cancer deaths that would occur in those men by age 75 years.
RESULTS: Screening based on family history involved 10% of men, accounting for 14% of prostate cancer deaths. Using black race as a risk criterion involved 13% of men, accounting for 28% of deaths. In contrast, 44% of prostate cancer deaths occurred in the 10% of men with the highest prostate specific antigen at age 45 years. In no sensitivity analysis for race and family history did the ratio of risk group size to number of prostate cancer deaths in that risk group approach that of prostate specific antigen.
CONCLUSIONS: Basing decisions for early screening on prostate specific antigen at age 45 years provided the best ratio between men screened and potential cancer deaths avoided. Given the lack of evidence that race or family history affects the relationship between prostate specific antigen and risk, prostate specific antigen based risk stratification would likely include any black men or men with a family history who are destined to experience aggressive disease. Differential screening based on risk should be informed by baseline prostate specific antigen.","Comparative Study; Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",https://pubmed.ncbi.nlm.nih.gov/24641912/,research/review_2026-09-21/pubmed/raw/priority_metadata_001800.xml,False,True,Awaiting independent human title/abstract screening,Service valuation title terms; manual classification pending,,,,,,,
R-32890040,,32890040,"Relative value units in health care: Friend, foe, or necessary evil?",Sheppard KG; Duncan CG,2020,Journal of the American Association of Nurse Practitioners,journal_article,,,10.1097/JXX.0000000000000515,,"The purpose of this article is to describe this use of relative value units (RVUs) among nurse practitioners (NP), including the challenges NPs may experience. Relative value units were developed as a means to determine reimbursement for health care based on time spent with the patient and skills required to complete the interaction, while addressing any disparities of reimbursement based on geography or insurance. Increasingly, providers such as NPs are being evaluated based in large part on how many RVUs they generate, which seems to prioritize productivity and may overlook many nonbillable aspects of the NP role such as emotional support or patient education. Nurse practitioners working in settings that require more invasive procedures may seem to be more productive on paper, regardless of the number of patients seen. Relative value units may not adequately reflect the skill and time taken to care for patients with chronic illness. Gender differences have been noted, both in terms of the number of RVUs generated for care of male or female patients, and those generated by male or female providers. If NPs are evaluated primarily based on productivity as measured by RVUs, we must consider how this might minimize or even invalidate the therapeutic relationship and holistic approach to patient care. Relative value units may negatively affect the willingness of NPs to serve as preceptors. Finally, as NPs experience less face-to-face time with patients and more demands for productivity, there may be a loss of quality care and professional integrity, which raises the risk of burnout among NPs.",Journal Article,https://pubmed.ncbi.nlm.nih.gov/32890040/,research/review_2026-09-21/pubmed/raw/priority_metadata_003800.xml,False,True,Awaiting independent human title/abstract screening,Service valuation title terms; manual classification pending,,,,,,,
R-8309263,,8309263,Relative value of transdermal and oral estrogen therapy in various clinical situations.,Lufkin EG; Ory SJ,1994,Mayo Clinic proceedings,journal_article,,,10.1016/s0025-6196(12)61038-6,,"OBJECTIVE: In this study, we reviewed the comparative effectiveness of transdermal and oral estrogen therapy in various groups of women.
DESIGN: On the basis of published data and personal clinical experience, we compiled recommendations for use of the various modes of estrogen replacement therapy.
MATERIAL AND METHODS: The use of injectable estrogen or implantable estrogen pellets can no longer be recommended because of their expense, inconvenience, and unphysiologic pattern of serum estrogen response. The two main estrogen preparations currently used in the United States--orally administered conjugated estrogens and transdermally administered estradiol--undergo different metabolism, and these processes are reflected in differing levels of circulating hormones and hepatic by-products, including blood clotting factors, binding proteins, renin substrate, and apolipoproteins, and in varied composition of the bile.
RESULTS: At least theoretically, transdermal estrogen therapy might be more beneficial than oral estrogen therapy for women who smoke cigarettes or who have migraine headaches, hypertriglyceridemia, hepatobiliary disorders, fibrocystic breast disease, or a history of thromboembolism. In contrast, women with hypercholesterolemia might respond better to oral than to transdermal estrogen therapy.
CONCLUSION: Additional properly designed clinical studies are necessary before these recommendations for estrogen replacement therapy can be validated or refuted.",Comparative Study; Journal Article; Review,https://pubmed.ncbi.nlm.nih.gov/8309263/,research/review_2026-09-21/pubmed/raw/priority_metadata_000000.xml,False,True,Awaiting independent human title/abstract screening,Service valuation title terms; manual classification pending,,,,,,,
R-9815844,,9815844,"Relative value of physical examination, mammography, and breast sonography in evaluating the size of the primary tumor and regional lymph node metastases in women receiving neoadjuvant chemotherapy for locally advanced breast carcinoma.",Herrada J; Iyer RB; Atkinson EN; Sneige N; Buzdar AU; Hortobagyi GN,1997,Clinical cancer research : an official journal of the American Association for Cancer Research,journal_article,,,,,"The purpose of this study was to correlate physical examination and sonographic and mammographic measurements of breast tumors and regional lymph nodes with pathological findings and to evaluate the effect of neoadjuvant chemotherapy on clinical Tumor-Node-Metastasis stage by noninvasive methods. This was a retrospective analysis of 100 patients with locally advanced breast cancer registered and treated in prospective trials of neoadjuvant chemotherapy. All patients received four cycles of a doxorubicin-containing regimen and had noninvasive evaluation of the primary tumor and regional lymph nodes before and after neoadjuvant chemotherapy by physical examination, sonography, and mammography and underwent breast surgery and axillary dissection within 5 weeks after completion of neoadjuvant chemotherapy. The correlations between clinical and pathological measurements were determined by Spearman rank correlation analysis. A proportional odds model was used to examine predictive values. Eighty-three patients had both a clinically detectable primary tumor and lymph node metastases. Sixty-four patients had a decrease in Tumor-Node-Metastasis stage after chemotherapy. For 54% of patients, there was concordance in clinical response between the primary tumor and lymph node compartment; for the rest, results were discordant. Physical examination correlated best with pathological findings in the measurement of the primary tumor (P = 0.0003), whereas sonography was the most accurate predictor of size for axillary lymph nodes (P = 0.0005). The combination of physical examination and mammography worked best for assessment of the primary tumor (P = 0.003), whereas combining physical examination with sonography gave optimal evaluation of regional lymph nodes (P = 0.0001). In conclusion, physical examination is the best noninvasive predictor of the real size of locally advanced primary breast cancer, whereas sonography correlates better with the real dimensions of axillary lymph nodes. The combination of physical examination with either mammography or sonography significantly improves the accuracy of noninvasive assessment of tumor dimensions.","Comparative Study; Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.",https://pubmed.ncbi.nlm.nih.gov/9815844/,research/review_2026-09-21/pubmed/raw/priority_metadata_000200.xml,False,True,Awaiting independent human title/abstract screening,Service valuation title terms; manual classification pending,,,,,,,
