source_query,source_pmid,retained_record_id,rule
PM-CORE-20260921-R1,5654,R-5654,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,5657,R-5657,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,5658,R-5658,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,16248,R-16248,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,22794,R-22794,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,98648,R-98648,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,99360,R-99360,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,99467,R-99467,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,99526,R-99526,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,102042,R-102042,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,102740,R-102740,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,104221,R-104221,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,106278,R-106278,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,107219,R-107219,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,107600,R-107600,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,107773,R-107773,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,108766,R-108766,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,108767,R-108767,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,108807,R-108807,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,112081,R-112081,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,113445,R-113445,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,116104,R-116104,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,118205,R-118205,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,128523,R-128523,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,128525,R-128525,Exact PMID match only; DOI/title/report-family deduplication pending
PM-CORE-20260921-R1,132400,R-132400,Exact PMID match only; DOI/title/report-family deduplication pending
