record_id,pmid,in_core,in_supplement,metadata_exported,screening_status
R-5654,5654,True,False,True,Not human-screened
R-5657,5657,True,False,True,Not human-screened
R-5658,5658,True,False,True,Not human-screened
R-16248,16248,True,False,True,Not human-screened
R-22794,22794,True,False,True,Not human-screened
R-98648,98648,True,False,True,Not human-screened
R-99360,99360,True,False,True,Not human-screened
R-99467,99467,True,False,True,Not human-screened
R-99526,99526,True,False,True,Not human-screened
R-102042,102042,True,False,True,Not human-screened
R-102740,102740,True,False,True,Not human-screened
R-104221,104221,True,False,True,Not human-screened
R-106278,106278,True,False,True,Not human-screened
R-107219,107219,True,False,True,Not human-screened
R-107600,107600,True,False,True,Not human-screened
R-107773,107773,True,False,True,Not human-screened
R-108766,108766,True,False,True,Not human-screened
R-108767,108767,True,False,True,Not human-screened
R-108807,108807,True,False,True,Not human-screened
R-112081,112081,True,False,True,Not human-screened
R-113445,113445,True,False,True,Not human-screened
R-116104,116104,True,False,True,Not human-screened
R-118205,118205,True,False,True,Not human-screened
R-128523,128523,True,False,True,Not human-screened
R-128525,128525,True,False,True,Not human-screened
R-132400,132400,True,False,True,Not human-screened
R-132406,132406,True,False,True,Not human-screened
R-137209,137209,True,False,True,Not human-screened
R-137701,137701,True,False,True,Not human-screened
R-143078,143078,False,True,True,Not human-screened
R-145409,145409,True,False,True,Not human-screened
R-147985,147985,True,False,True,Not human-screened
R-150478,150478,False,True,True,Not human-screened
R-150533,150533,True,False,True,Not human-screened
R-151080,151080,True,False,True,Not human-screened
R-151194,151194,True,False,True,Not human-screened
R-151198,151198,True,False,True,Not human-screened
R-152292,152292,True,False,True,Not human-screened
R-152295,152295,True,False,True,Not human-screened
R-153463,153463,True,False,True,Not human-screened
R-157332,157332,True,False,True,Not human-screened
R-159934,159934,False,True,True,Not human-screened
R-162054,162054,True,False,True,Not human-screened
R-171391,171391,True,False,True,Not human-screened
R-175160,175160,True,False,True,Not human-screened
R-182893,182893,True,False,True,Not human-screened
R-189609,189609,True,False,True,Not human-screened
R-239330,239330,True,False,True,Not human-screened
R-254895,254895,False,True,True,Not human-screened
R-303403,303403,False,True,True,Not human-screened
R-319049,319049,True,False,True,Not human-screened
R-319665,319665,True,False,True,Not human-screened
R-323132,323132,True,False,True,Not human-screened
R-324888,324888,True,False,True,Not human-screened
R-325207,325207,True,False,True,Not human-screened
R-326037,326037,True,False,True,Not human-screened
R-326370,326370,True,False,True,Not human-screened
R-326731,326731,True,False,True,Not human-screened
R-327167,327167,True,False,True,Not human-screened
R-327807,327807,True,False,True,Not human-screened
R-329448,329448,True,False,True,Not human-screened
R-329531,329531,True,False,True,Not human-screened
R-332516,332516,False,True,True,Not human-screened
R-332613,332613,True,False,True,Not human-screened
R-334828,334828,False,True,True,Not human-screened
R-336171,336171,True,False,True,Not human-screened
R-337055,337055,True,False,True,Not human-screened
R-337340,337340,True,False,True,Not human-screened
R-337577,337577,True,False,True,Not human-screened
R-337578,337578,True,False,True,Not human-screened
R-337579,337579,True,False,True,Not human-screened
R-339080,339080,True,False,True,Not human-screened
R-341803,341803,True,False,True,Not human-screened
R-342839,342839,True,False,True,Not human-screened
R-344185,344185,True,False,True,Not human-screened
R-345011,345011,True,False,True,Not human-screened
R-345523,345523,True,False,True,Not human-screened
R-346469,346469,True,False,True,Not human-screened
R-347026,347026,True,False,True,Not human-screened
R-348598,348598,True,False,True,Not human-screened
R-348599,348599,True,False,True,Not human-screened
R-349289,349289,True,False,True,Not human-screened
R-349379,349379,True,False,True,Not human-screened
R-350370,350370,True,False,True,Not human-screened
R-352899,352899,True,False,True,Not human-screened
R-352902,352902,True,False,True,Not human-screened
R-352903,352903,True,False,True,Not human-screened
R-353558,353558,True,False,True,Not human-screened
R-354364,354364,True,False,True,Not human-screened
R-355921,355921,True,False,True,Not human-screened
R-356631,356631,True,False,True,Not human-screened
R-358928,358928,True,False,True,Not human-screened
R-359446,359446,True,False,True,Not human-screened
R-359970,359970,True,False,True,Not human-screened
R-359971,359971,True,False,True,Not human-screened
R-362083,362083,True,False,True,Not human-screened
R-364655,364655,True,False,True,Not human-screened
R-365704,365704,True,False,True,Not human-screened
R-367910,367910,True,False,True,Not human-screened
R-367936,367936,True,False,True,Not human-screened
R-367937,367937,True,False,True,Not human-screened
R-368104,368104,True,False,True,Not human-screened
R-369978,369978,True,False,True,Not human-screened
R-369979,369979,True,False,True,Not human-screened
R-369980,369980,True,False,True,Not human-screened
R-370416,370416,True,False,True,Not human-screened
R-370478,370478,True,False,True,Not human-screened
R-371071,371071,True,False,True,Not human-screened
R-371074,371074,True,False,True,Not human-screened
R-371076,371076,True,False,True,Not human-screened
R-371081,371081,True,False,True,Not human-screened
R-372844,372844,True,False,True,Not human-screened
R-373984,373984,True,False,True,Not human-screened
R-374912,374912,True,False,True,Not human-screened
R-374913,374913,True,False,True,Not human-screened
R-376967,376967,True,False,True,Not human-screened
R-377045,377045,True,False,True,Not human-screened
R-379587,379587,True,False,True,Not human-screened
R-379588,379588,True,False,True,Not human-screened
R-381253,381253,True,False,True,Not human-screened
R-381795,381795,True,False,True,Not human-screened
R-384245,384245,True,False,True,Not human-screened
R-384603,384603,True,False,True,Not human-screened
R-385515,385515,False,True,True,Not human-screened
R-385712,385712,True,False,True,Not human-screened
R-386077,386077,True,False,True,Not human-screened
R-386124,386124,True,False,True,Not human-screened
R-386127,386127,True,False,True,Not human-screened
R-386326,386326,True,False,True,Not human-screened
R-387903,387903,True,False,True,Not human-screened
R-388180,388180,True,False,True,Not human-screened
R-388221,388221,True,False,True,Not human-screened
R-390171,390171,True,False,True,Not human-screened
R-391553,391553,True,False,True,Not human-screened
R-393658,393658,True,False,True,Not human-screened
R-393659,393659,True,False,True,Not human-screened
R-400767,400767,True,False,True,Not human-screened
R-402013,402013,True,False,True,Not human-screened
R-403620,403620,True,False,True,Not human-screened
R-403621,403621,True,False,True,Not human-screened
R-405626,405626,True,False,True,Not human-screened
R-405703,405703,True,False,True,Not human-screened
R-406486,406486,True,False,True,Not human-screened
R-407519,407519,True,False,True,Not human-screened
R-407657,407657,True,False,True,Not human-screened
R-408934,408934,True,False,True,Not human-screened
R-413797,413797,True,False,True,Not human-screened
R-415241,415241,True,False,True,Not human-screened
R-415601,415601,True,False,True,Not human-screened
R-415602,415602,True,False,True,Not human-screened
R-415990,415990,True,False,True,Not human-screened
R-415991,415991,True,False,True,Not human-screened
