RxCUI,TTY,RxNorm Description,Related BN,Related SCDC,Related DF
213461,SBD,ABACAVIR 20 MG/ML ORAL SOLUTION [ZIAGEN],ZIAGEN,ABACAVIR 20 MG/ML,ORAL SOLUTION
242680,SCD,ABACAVIR 20 MG/ML ORAL SOLUTION,,ABACAVIR 20 MG/ML,ORAL SOLUTION
242679,SCD,ABACAVIR 300 MG ORAL TABLET,,ABACAVIR 300 MG,ORAL TABLET
2598352,SBD,ABACAVIR 60 MG / DOLUTEGRAVIR 5 MG / LAMIVUDINE 30 MG TABLET FOR ORAL SUSPENSION [TRIUMEQ],TRIUMEQ,ABACAVIR 60 MG / DOLUTEGRAVIR 5 MG / LAMIVUDINE 30 MG,TABLET FOR ORAL SUSPENSION
1546894,SBD,ABACAVIR 600 MG / DOLUTEGRAVIR 50 MG / LAMIVUDINE 300 MG ORAL TABLET [TRIUMEQ],TRIUMEQ,ABACAVIR 600 MG / DOLUTEGRAVIR 50 MG / LAMIVUDINE 300 MG,ORAL TABLET
602393,SCD,ABACAVIR 600 MG / LAMIVUDINE 300 MG ORAL TABLET,,ABACAVIR 600 MG / LAMIVUDINE 300 MG,ORAL TABLET
1921081,SBD,1.56 ML ABALOPARATIDE 2 MG/ML PEN INJECTOR [TYMLOS],TYMLOS,ABALOPARATIDE 2 MG/ML,PEN INJECTOR
1925255,SBD,0.4 ML ABATACEPT 125 MG/ML PREFILLED SYRINGE [ORENCIA],ORENCIA,ABATACEPT 125 MG/ML,PREFILLED SYRINGE
1145932,SBD,1 ML ABATACEPT 125 MG/ML PREFILLED SYRINGE [ORENCIA],ORENCIA,ABATACEPT 125 MG/ML,PREFILLED SYRINGE
1799230,SBD,1 ML ABATACEPT 125 MG/ML AUTO-INJECTOR [ORENCIA],ORENCIA,ABATACEPT 125 MG/ML,AUTO-INJECTOR
1925257,SBD,0.7 ML ABATACEPT 125 MG/ML PREFILLED SYRINGE [ORENCIA],ORENCIA,ABATACEPT 125 MG/ML,PREFILLED SYRINGE
1946840,SBD,ABEMACICLIB 100 MG ORAL TABLET [VERZENIO],VERZENIO,ABEMACICLIB 100 MG,ORAL TABLET
1946844,SBD,ABEMACICLIB 150 MG ORAL TABLET [VERZENIO],VERZENIO,ABEMACICLIB 150 MG,ORAL TABLET
1946848,SBD,ABEMACICLIB 200 MG ORAL TABLET [VERZENIO],VERZENIO,ABEMACICLIB 200 MG,ORAL TABLET
1946836,SBD,ABEMACICLIB 50 MG ORAL TABLET [VERZENIO],VERZENIO,ABEMACICLIB 50 MG,ORAL TABLET
2046585,SBD,ABIRATERONE ACETATE 125 MG ORAL TABLET [YONSA],YONSA,ABIRATERONE ACETATE 125 MG,ORAL TABLET
2702601,SBD,ABIRATERONE ACETATE 250 MG ORAL TABLET [ABIRTEGA],ABIRTEGA,ABIRATERONE ACETATE 250 MG,ORAL TABLET
1100079,SBD,ABIRATERONE ACETATE 250 MG ORAL TABLET [ZYTIGA],ZYTIGA,ABIRATERONE ACETATE 250 MG,ORAL TABLET
1100075,SCD,ABIRATERONE ACETATE 250 MG ORAL TABLET,,ABIRATERONE ACETATE 250 MG,ORAL TABLET
1918044,SBD,ABIRATERONE ACETATE 500 MG ORAL TABLET [ZYTIGA],ZYTIGA,ABIRATERONE ACETATE 500 MG,ORAL TABLET
1918042,SCD,ABIRATERONE ACETATE 500 MG ORAL TABLET,,ABIRATERONE ACETATE 500 MG,ORAL TABLET
2645253,SBD,ABIRATERONE ACETATE 500 MG / NIRAPARIB 100 MG ORAL TABLET [AKEEGA],AKEEGA,ABIRATERONE ACETATE 500 MG / NIRAPARIB 100 MG,ORAL TABLET
2645250,SBD,ABIRATERONE ACETATE 500 MG / NIRAPARIB 50 MG ORAL TABLET [AKEEGA],AKEEGA,ABIRATERONE ACETATE 500 MG / NIRAPARIB 50 MG,ORAL TABLET
2591487,SBD,ABROCITINIB 100 MG ORAL TABLET [CIBINQO],CIBINQO,ABROCITINIB 100 MG,ORAL TABLET
2591491,SBD,ABROCITINIB 200 MG ORAL TABLET [CIBINQO],CIBINQO,ABROCITINIB 200 MG,ORAL TABLET
2591495,SBD,ABROCITINIB 50 MG ORAL TABLET [CIBINQO],CIBINQO,ABROCITINIB 50 MG,ORAL TABLET
2607737,SBD,ACALABRUTINIB 100 MG ORAL TABLET [CALQUENCE],CALQUENCE,ACALABRUTINIB 100 MG,ORAL TABLET
835726,SCD,ACAMPROSATE CALCIUM 333 MG DELAYED RELEASE ORAL TABLET,,ACAMPROSATE CALCIUM 333 MG,DELAYED RELEASE ORAL TABLET
